App,Category,Rating,Reviews,Size,Installs,Type,Price,Last Updated
App0,EDUCATION,3.6,124528,14M,5000+,Paid,7.88027418354575,May 28 2018
App1,BUSINESS,4.0,392452,10M,50000+,Free,7.847217354172522,December 21 2021
App2,TOOLS,4.9,350014,68M,500000+,Paid,2.058931316600734,February 08 2023
App3,BUSINESS,4.0,281184,36M,50000+,Free,8.083593652974598,May 12 2022
App4,EDUCATION,3.8,5353,23M,5000+,Free,8.443914216235534,July 07 2018
App5,GAME,4.9,265245,37M,50000+,Paid,9.680597754486088,February 20 2018
App6,FINANCE,4.9,204306,48M,10000+,Paid,9.528530780987916,May 02 2022
App7,BUSINESS,3.9,479680,58M,1000+,Free,2.396859149117976,April 28 2019
App8,SOCIAL,4.0,22054,46M,5000+,Paid,2.4562268313745497,January 07 2022
App9,TOOLS,4.6,270014,79M,100000+,Paid,9.539961003386482,July 03 2022
App10,FINANCE,3.9,270048,16M,50000+,Free,0.020266262084503994,April 05 2022
App11,SOCIAL,4.9,160507,5M,50000+,Free,9.31967559284574,February 26 2019
App12,EDUCATION,3.6,339516,76M,1000000+,Paid,9.43191640964501,June 03 2021
App13,ENTERTAINMENT,4.2,157049,13M,10000+,Free,0.3142874217577918,October 23 2018
App14,HEALTH,4.6,63511,66M,5000+,Free,2.4970532491882933,August 26 2018
App15,PRODUCTIVITY,3.9,25769,41M,1000000+,Free,6.053959423679238,August 28 2018
App16,TOOLS,3.5,28697,44M,5000+,Free,0.8249086032056874,July 16 2018
App17,BUSINESS,4.2,298385,27M,500000+,Paid,7.254002288224716,July 13 2021
App18,FINANCE,4.2,495898,11M,500000+,Paid,1.2826714310588905,March 21 2020
App19,ENTERTAINMENT,3.6,440014,30M,100000+,Free,5.188787952181354,January 09 2018
App20,GAME,4.4,5209,36M,100000+,Paid,2.1732483120925625,July 27 2021
App21,FINANCE,4.8,402740,56M,100000+,Free,0.7447616983437,November 21 2020
App22,PRODUCTIVITY,4.4,102166,13M,1000000+,Free,8.44459251450803,April 26 2023
App23,GAME,4.3,41924,19M,1000+,Paid,3.2267409660724624,April 14 2022
App24,PRODUCTIVITY,4.0,425144,22M,1000+,Free,2.237220538383097,April 25 2023
App25,EDUCATION,4.7,5987,45M,50000+,Free,3.3037692950750763,December 04 2022
App26,GAME,3.9,357523,16M,100000+,Paid,0.06794648031018924,August 31 2018
App27,BUSINESS,4.8,253695,76M,5000+,Free,9.73371379737976,February 24 2022
App28,EDUCATION,4.2,15548,61M,50000+,Paid,1.9022343496884586,May 19 2019
App29,TOOLS,4.4,440687,65M,1000000+,Free,6.114140096264187,April 25 2018
App30,EDUCATION,4.3,233457,25M,100000+,Free,7.244713562992687,February 10 2018
App31,LIFESTYLE,4.3,138259,76M,500000+,Free,9.224157175373156,June 24 2019
App32,TOOLS,4.0,33434,36M,10000+,Free,3.3921845448642207,June 12 2022
App33,HEALTH,3.6,295223,80M,1000000+,Paid,3.656995876873308,May 21 2019
App34,FINANCE,4.2,471,54M,10000+,Paid,1.8823504744823472,May 15 2023
App35,TOOLS,4.8,14486,39M,5000+,Free,3.4448030459797305,November 13 2020
App36,FINANCE,4.7,301634,60M,500000+,Paid,9.073044953457895,October 19 2020
App37,LIFESTYLE,4.4,400681,20M,1000000+,Paid,9.732582517660166,May 03 2023
App38,FINANCE,4.4,23862,71M,10000+,Free,8.573498263360257,December 08 2019
App39,TOOLS,3.7,293167,53M,50000+,Paid,5.060472755438873,February 04 2018
App40,PRODUCTIVITY,4.7,279912,37M,100000+,Free,5.709417474527441,June 04 2023
App41,LIFESTYLE,3.9,218103,37M,1000000+,Free,9.538914688065196,April 19 2022
App42,PRODUCTIVITY,4.2,493337,36M,1000+,Paid,5.8289398963463634,September 12 2022
App43,ENTERTAINMENT,4.9,171035,50M,10000+,Free,9.152718170610305,June 06 2022
App44,PRODUCTIVITY,4.2,95725,8M,10000+,Paid,3.738894844620054,January 30 2021
App45,PRODUCTIVITY,3.7,483590,78M,10000+,Paid,6.363703061661693,August 05 2020
App46,EDUCATION,4.2,174798,51M,500000+,Paid,6.582165698140042,April 27 2022
App47,GAME,3.8,408873,40M,100000+,Free,7.573850504374768,January 29 2022
App48,SOCIAL,4.4,303786,53M,10000+,Paid,7.6721217225285985,January 06 2022
App49,ENTERTAINMENT,3.8,71025,59M,50000+,Free,3.9584373485634137,November 11 2021
App50,FINANCE,4.6,345057,79M,5000+,Free,1.9263875190435542,August 12 2019
App51,EDUCATION,4.5,265013,11M,50000+,Paid,0.569575770900983,February 24 2018
App52,BUSINESS,5.0,459550,61M,50000+,Free,3.9457130397836195,March 10 2022
App53,EDUCATION,3.5,181875,31M,10000+,Free,7.010841275290067,September 01 2021
App54,TOOLS,4.0,278557,42M,10000+,Paid,3.697124610916002,April 05 2023
App55,FINANCE,4.6,96790,60M,10000+,Paid,6.584201812725398,October 17 2022
App56,PRODUCTIVITY,4.3,323126,33M,10000+,Paid,4.987740356386627,March 29 2021
App57,BUSINESS,4.1,316177,57M,1000+,Paid,0.738103179162628,October 25 2020
App58,SOCIAL,4.2,27730,35M,1000+,Paid,4.46124317302546,July 23 2019
App59,FINANCE,3.9,31341,60M,500000+,Free,2.227652448592885,January 01 2022
App60,BUSINESS,3.6,123774,55M,5000+,Paid,9.744968888720308,February 05 2019
App61,LIFESTYLE,4.8,97678,18M,10000+,Free,8.01665291588066,February 06 2021
App62,LIFESTYLE,4.6,179320,74M,100000+,Paid,3.0898392827287613,August 04 2021
App63,EDUCATION,3.8,154698,63M,5000+,Free,9.142596660921015,July 24 2022
App64,EDUCATION,3.6,16172,10M,500000+,Paid,7.146711330790238,June 21 2020
App65,PRODUCTIVITY,4.2,309577,49M,500000+,Paid,0.912596681697927,June 13 2020
App66,SOCIAL,4.7,428747,80M,50000+,Free,9.70849480875136,May 06 2019
App67,SOCIAL,4.3,390969,59M,5000+,Paid,5.921371226904384,November 18 2022
App68,ENTERTAINMENT,4.9,319281,48M,100000+,Paid,0.4280152976074447,December 22 2019
App69,ENTERTAINMENT,3.6,98593,18M,50000+,Free,7.0849861757994494,October 05 2022
App70,BUSINESS,3.8,431576,77M,50000+,Paid,6.630811397608946,March 05 2018
App71,SOCIAL,4.8,118987,80M,100000+,Paid,1.7961147880448625,June 13 2020
App72,ENTERTAINMENT,4.9,70188,8M,1000+,Paid,5.067181537708111,August 25 2021
App73,SOCIAL,4.0,75622,72M,5000+,Free,7.905835427559421,April 08 2022
App74,LIFESTYLE,4.0,474499,9M,100000+,Free,1.3861995857871678,December 20 2018
App75,SOCIAL,4.9,231900,7M,10000+,Paid,8.661277525638983,February 14 2023
App76,FINANCE,4.6,403130,28M,1000+,Paid,8.08399725818284,February 11 2019
App77,HEALTH,3.9,5034,62M,10000+,Free,8.557447600205252,March 27 2019
App78,FINANCE,4.2,344314,39M,10000+,Paid,9.750540374246263,January 11 2020
App79,LIFESTYLE,3.9,267509,31M,1000+,Paid,7.618191458575383,May 27 2022
App80,ENTERTAINMENT,3.9,36047,54M,1000+,Paid,2.905049785877022,March 02 2019
App81,PRODUCTIVITY,4.4,179952,25M,10000+,Paid,5.355355953251136,July 01 2021
App82,SOCIAL,4.9,191947,39M,1000+,Paid,5.100281066066809,June 07 2019
App83,PRODUCTIVITY,3.8,493139,68M,10000+,Free,1.705993329869392,August 06 2021
App84,HEALTH,4.2,435221,17M,5000+,Paid,5.725599117811612,August 06 2021
App85,EDUCATION,4.0,397901,27M,100000+,Free,6.3546492771488206,February 23 2018
App86,PRODUCTIVITY,4.8,446677,69M,10000+,Free,9.316067051809272,June 13 2023
App87,PRODUCTIVITY,4.7,137101,80M,50000+,Paid,2.185980013554236,December 07 2022
App88,SOCIAL,3.6,243054,69M,100000+,Free,8.251356201930351,September 23 2019
App89,LIFESTYLE,3.9,18343,52M,5000+,Free,2.428639018777848,September 17 2019
App90,LIFESTYLE,4.8,319349,11M,1000+,Free,6.00972450891892,March 20 2020
App91,LIFESTYLE,4.4,494657,67M,10000+,Paid,6.254222310803406,March 01 2023
App92,ENTERTAINMENT,4.4,46811,54M,5000+,Paid,9.51363956207429,September 28 2019
App93,LIFESTYLE,4.4,396425,51M,100000+,Paid,5.681953535215456,January 06 2021
App94,GAME,4.6,404514,29M,100000+,Free,8.197857314045487,September 05 2022
App95,TOOLS,4.8,480586,24M,500000+,Free,5.150056710273839,November 06 2022
App96,SOCIAL,4.9,57845,48M,1000+,Free,6.827858327101258,May 01 2019
App97,HEALTH,4.4,20408,15M,10000+,Free,9.967461286892439,January 21 2023
App98,FINANCE,3.9,372373,35M,500000+,Paid,4.63032253755292,June 20 2020
App99,LIFESTYLE,4.5,461858,42M,1000000+,Free,7.5776175108707156,May 10 2020
App100,SOCIAL,4.8,91404,68M,50000+,Paid,2.337266697731537,September 29 2018
App101,LIFESTYLE,3.7,142794,36M,5000+,Free,9.634298703748955,February 13 2021
App102,EDUCATION,4.1,328361,76M,1000+,Paid,9.778466258843746,April 21 2019
App103,ENTERTAINMENT,3.7,307158,39M,1000+,Paid,8.256886657387358,February 27 2022
App104,EDUCATION,4.5,148190,42M,100000+,Paid,4.992065735933316,January 03 2020
App105,HEALTH,3.9,171384,38M,10000+,Paid,7.0468353818169485,May 08 2022
App106,SOCIAL,4.3,45828,59M,50000+,Free,3.851918993477529,August 11 2021
App107,TOOLS,4.5,2516,55M,1000+,Paid,0.44499484431453684,October 21 2020
App108,EDUCATION,3.7,7457,59M,500000+,Paid,5.682818608317684,May 17 2018
